geo,TIME_PERIOD,ELC,TOTAL,EV_share,CO2_g_km
AT,2014,3386.0,4694921.0,0.07212048935434696,128.5
AT,2015,5032.0,4748048.0,0.1059803944694746,123.7
AT,2016,9073.0,4821557.0,0.1881757282968966,120.4
AT,2017,14618.0,4898578.0,0.29841313132096703,146.3
AT,2018,20831.0,4978852.0,0.4183896207398814,149.1
AT,2019,29523.0,5039548.0,0.5858263479185037,152.1
AT,2020,44507.0,5091827.0,0.8740870418417593,135.7
AT,2021,76539.0,5133836.0,1.490873491089314,116.1
AT,2022,110225.0,5150890.0,2.1399214504677833,112.0
AT,2023,155490.0,5185006.0,2.998839345605386,104.1
BE,2014,2238.0,5584690.0,0.04007384474339668,121.3
BE,2015,3317.0,5662059.0,0.058582928930977225,117.9
BE,2016,5207.0,5731292.0,0.09085211502048753,115.9
BE,2017,7557.0,5798939.0,0.13031694246137096,140.5
BE,2018,10893.0,5848425.0,0.1862552738557817,144.7
BE,2019,18724.0,5881874.0,0.3183339187476644,147.3
BE,2020,31773.0,5897488.0,0.5387548054358059,130.6
BE,2021,52375.0,5926009.0,0.8838157350081649,117.0
BE,2022,89811.0,5955127.0,1.5081290457785368,104.5
BE,2023,181447.0,6047551.0,3.0003384841235734,85.3
BG,2014,147.0,3013863.0,0.0048774612515565564,135.9
BG,2015,183.0,3162037.0,0.005787408559735386,130.3
BG,2016,215.0,3143568.0,0.006839362151542451,125.8
BG,2017,384.0,2770615.0,0.013859738722269243,153.0
BG,2018,710.0,2773325.0,0.02560103846465885,153.6
BG,2019,1185.0,2829946.0,0.041873590520808524,157.8
BG,2020,1933.0,2866763.0,0.06742796666484115,147.1
BG,2021,3369.0,2830464.0,0.11902642110975445,139.5
BG,2022,6293.0,2896777.0,0.21724143763914172,134.3
BG,2023,11472.0,3006215.0,0.3816094324590889,129.4
CY,2014,15.0,478492.0,0.0031348486495072015,129.8
CY,2015,23.0,487692.0,0.004716091303527636,125.7
CY,2016,40.0,508284.0,0.007869616198817984,123.5
CY,2017,87.0,526617.0,0.016520545291929426,148.1
CY,2018,114.0,550695.0,0.020701114046795414,149.6
CY,2019,167.0,572501.0,0.0291702547244459,153.6
CY,2020,240.0,578158.0,0.04151114401253636,151.9
CY,2021,333.0,592156.0,0.056235181269800524,145.9
CY,2022,830.0,601131.0,0.13807306560466853,136.8
CY,2023,1800.0,625625.0,0.28771228771228774,126.3
CZ,2014,417.0,4833386.0,0.008627492196981577,131.6
CZ,2015,713.0,5115316.0,0.01393853282964337,126.3
CZ,2016,974.0,5307808.0,0.018350324653793056,121.2
CZ,2017,1525.0,5538222.0,0.02753591315046598,150.4
CZ,2018,3405.0,5747913.0,0.059238892446701955,152.7
CZ,2019,4950.0,5924995.0,0.08354437429905004,156.0
CZ,2020,8109.0,6049255.0,0.13404956478111768,144.9
CZ,2021,9051.0,6088730.0,0.14865168926853384,138.8
CZ,2022,14195.0,6305934.0,0.22510543243871567,137.7
CZ,2023,22441.0,6512774.0,0.34456899625259524,136.0
DE,2014,19000.0,44403000.0,0.04278990158322636,132.5
DE,2015,26000.0,45071000.0,0.05768676088837611,128.3
DE,2016,34022.0,45803560.0,0.07427806921558062,126.9
DE,2017,53861.0,46474594.0,0.11589342770805056,154.2
DE,2018,83175.0,47095784.0,0.1766081651809852,157.0
DE,2019,136617.0,47715977.0,0.2863129052141173,159.0
DE,2020,309083.0,48248584.0,0.6406053284382398,136.0
DE,2021,618460.0,48540878.0,1.2741013872884623,113.5
DE,2022,1013009.0,48763036.0,2.0774116689535083,105.9
DE,2023,1408681.0,49098685.0,2.8690809132668216,113.0
DK,2014,2916.0,2319207.0,0.12573263188667505,110.2
DK,2015,7887.0,2390823.0,0.32988640313398354,106.2
DK,2016,8662.0,2465534.0,0.35132348610889164,106.0
DK,2017,8764.0,2530052.0,0.34639604245288236,129.8
DK,2018,10037.0,2594482.0,0.38685949642356354,132.8
DK,2019,15504.0,2651741.0,0.5846724849825077,135.6
DK,2020,31886.0,2723612.0,1.1707247581520424,116.4
DK,2021,66610.0,2787553.0,2.389550978941028,92.3
DK,2022,112674.0,2801076.0,4.022525629436688,86.3
DK,2023,200109.0,2827864.0,7.076330403442316,72.8
EE,2014,1067.0,652950.0,0.16341220614135846,140.9
EE,2015,1116.0,676596.0,0.16494333398364755,137.2
EE,2016,1156.0,703151.0,0.16440280963832804,133.9
EE,2017,1191.0,725944.0,0.16406224171561443,161.0
EE,2018,1254.0,746464.0,0.16799202640716765,160.5
EE,2019,1382.0,794926.0,0.17385266049921627,157.7
EE,2020,1773.0,808689.0,0.21924373894043322,147.6
EE,2021,2456.0,825936.0,0.2973596017124813,142.6
EE,2022,3461.0,849294.0,0.40751494770950925,141.6
EE,2023,5796.0,865773.0,0.6694595465555059,134.6
EL,2014,45.0,5110873.0,0.0008804758012965692,108.2
EL,2015,84.0,5107620.0,0.0016446015952635475,106.4
EL,2016,114.0,5160056.0,0.0022092783489171433,106.3
EL,2017,148.0,5235928.0,0.002826624048306241,131.9
